epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,907.681,1.03688,2.0108,1.50383,0.75215,0.70829,0.72878,0.55739,1.25848,1.99709,1.70161,0.00041522,0.00041522,0.00041522
2,1761.43,1.00001,1.49574,1.46269,0.7753,0.67799,0.70678,0.55884,1.12973,1.79135,1.65977,0.000815415,0.000815415,0.000815415
3,2754.87,0.97311,1.38259,1.42388,0.9686,0.62319,0.74419,0.59155,1.12184,1.55004,1.55942,0.00119911,0.00119911,0.00119911
4,3590.56,0.97488,1.30514,1.43084,0.76174,0.71467,0.75394,0.57722,1.1037,1.41164,1.58989,0.00117575,0.00117575,0.00117575
5,4471.52,0.93668,1.20343,1.3989,0.73073,0.73551,0.77649,0.62723,1.04754,1.30776,1.53021,0.001151,0.001151,0.001151
6,19577.7,0.8993,1.14956,1.36618,0.69883,0.78472,0.77514,0.63383,0.94765,1.16364,1.37276,0.00112625,0.00112625,0.00112625
7,20405.4,0.86255,1.08099,1.33161,0.69673,0.86745,0.79637,0.63495,0.97991,1.10769,1.43925,0.0011015,0.0011015,0.0011015
8,21177.4,0.8518,1.0628,1.32139,0.73557,0.8119,0.78609,0.62512,0.9497,1.08001,1.39938,0.00107675,0.00107675,0.00107675
9,21861.9,0.82809,1.02954,1.30257,0.68614,0.75694,0.77875,0.64373,0.8591,1.08694,1.32449,0.001052,0.001052,0.001052
10,22653.9,0.78922,1.00519,1.27498,0.73351,0.84662,0.80981,0.66422,0.86503,0.95002,1.31653,0.00102725,0.00102725,0.00102725
11,43978,0.78328,0.9637,1.26624,0.70877,0.82579,0.79477,0.65687,0.84758,0.9167,1.27584,0.0010025,0.0010025,0.0010025
12,44802.9,0.78046,0.96081,1.26554,0.71728,0.86111,0.81087,0.66359,0.81248,0.91412,1.26072,0.00097775,0.00097775,0.00097775
